t,ib,Ts1,Ts2,Ts3,Ts4,Ts5,Ts6,Ts7,Tc1,Tc2,Tc3,Tc4,Tc5,Tc6,Tc7
78.8,7.24269434669057,35.566238106994,35.566238106994,35.566238106994,35.566238106994,35.566238106994,35.566238106994,35.566238106994,35.8304446051108,35.8305748559168,35.8305655610552,35.8304309977143,35.8304876624517,35.8306470029627,35.8305773054065
78.9,7.24269434669057,35.5663623253516,35.5663623253516,35.5663623253516,35.5663623253516,35.5663623253516,35.5663623253516,35.5663623253516,35.8307113246885,35.8308419449739,35.8308343918486,35.8306985370057,35.8307540909092,35.8309141021594,35.8308440263862
79,7.24269434669057,35.5664880540175,35.5664880540175,35.5664880540175,35.5664880540175,35.5664880540175,35.5664880540175,35.5664880540175,35.8309814825034,35.8311124721352,35.8311066597371,35.8309695141177,35.8310239576002,35.8311846393371,35.8311141856037
79.1,7.24269434669057,35.5666153147814,35.5666153147814,35.5666153147814,35.5666153147814,35.5666153147814,35.5666153147814,35.5666153147814,35.8312550765692,35.8313864354144,35.8313823627348,35.8312439270641,35.8312972605383,35.8314586125097,35.8313877810727
79.2,7.24269434669057,35.5667441288422,35.5667441288422,35.5667441288422,35.5667441288422,35.5667441288422,35.5667441288422,35.5667441288422,35.831532104919,35.8316638328445,35.831661498875,35.8315217738779,35.8315739977565,35.8317360197103,35.8316648108261
79.3,7.24269434669057,35.5668745168237,35.5668745168237,35.5668745168237,35.5668745168237,35.5668745168237,35.5668745168237,35.5668745168237,35.8318125656046,35.8319446624777,35.8319440662102,35.8318030526114,35.8318541673068,35.8320168589909,35.8319452729161
79.4,7.24269434669057,35.5670064987892,35.5670064987892,35.5670064987892,35.5670064987892,35.5670064987892,35.5670064987892,35.5670064987892,35.8320964566966,35.8322289223844,35.8322300628111,35.832087761335,35.8321377672598,35.832301128422,35.8322291654129
79.5,7.24269434669057,35.5671400942567,35.5671400942567,35.5671400942567,35.5671400942567,35.5671400942567,35.5671400942567,35.5671400942567,35.8323837762834,35.8325166106529,35.8325194867667,35.8323758981373,35.8324247957037,35.8325888260922,35.8325164864052
79.6,7.24269434669057,35.5672753222124,35.5672753222124,35.5672753222124,35.5672753222124,35.5672753222124,35.5672753222124,35.5672753222124,35.8326745224709,35.8328077253895,35.8328123361831,35.8326674611243,35.8327152507447,35.8328799501074,35.8328072339988
79.7,7.24269434669057,35.5674122011254,35.5674122011254,35.5674122011254,35.5674122011254,35.5674122011254,35.5674122011254,35.5674122011254,35.8329686933822,35.8331022647169,35.8331086091839,35.8329624484193,35.8330091305056,35.8331744985908,35.8331014063168
79.8,7.24269434669057,35.5675507489603,35.5675507489603,35.5675507489603,35.5675507489603,35.5675507489603,35.5675507489603,35.5675507489603,35.833266287157,35.8334002267751,35.833408303909,35.8332608581619,35.8333064331263,35.8334724696821,35.8333990014988
79.9,7.24269434669057,35.5676909831913,35.5676909831913,35.5676909831913,35.5676909831913,35.5676909831913,35.5676909831913,35.5676909831913,35.833567301951,35.8337016097198,35.8337114185149,35.8335626885083,35.8336071567625,35.8337738615372,35.8337000177007
80,7.24269434669057,35.567832920814,35.567832920814,35.567832920814,35.567832920814,35.567832920814,35.567832920814,35.567832920814,35.8338717359361,35.8340064117229,35.8340179511734,35.8338679376301,35.8339112995861,35.834078672328,35.8340044530942
80.1,0,35.5679765783589,35.5679765783589,35.5679765783589,35.5679765783589,35.5679765783589,35.5679765783589,35.5679765783589,35.8336547562321,35.8336547562321,35.8336547562321,35.8336547562321,35.8336547562321,35.8336547562321,35.8336547562321
80.2,0,35.5681127650668,35.5681127650668,35.5681127650668,35.5681127650668,35.5681127650668,35.5681127650668,35.5681127650668,35.8334380706617,35.8334380706617,35.8334380706617,35.8334380706617,35.8334380706617,35.8334380706617,35.8334380706617
80.3,0,35.5682416766669,35.5682416766669,35.5682416766669,35.5682416766669,35.5682416766669,35.5682416766669,35.5682416766669,35.8332216728919,35.8332216728919,35.8332216728919,35.8332216728919,35.8332216728919,35.8332216728919,35.8332216728919
80.4,0,35.5683635037844,35.5683635037844,35.5683635037844,35.5683635037844,35.5683635037844,35.5683635037844,35.5683635037844,35.8330055567543,35.8330055567543,35.8330055567543,35.8330055567543,35.8330055567543,35.8330055567543,35.8330055567543
80.5,0,35.5684784320736,35.5684784320736,35.5684784320736,35.5684784320736,35.5684784320736,35.5684784320736,35.5684784320736,35.8327897162414,35.8327897162414,35.8327897162414,35.8327897162414,35.8327897162414,35.8327897162414,35.8327897162414
80.6,0,35.5685866423479,35.5685866423479,35.5685866423479,35.5685866423479,35.5685866423479,35.5685866423479,35.5685866423479,35.8325741455015,35.8325741455015,35.8325741455015,35.8325741455015,35.8325741455015,35.8325741455015,35.8325741455015
80.7,0,35.5686883107057,35.5686883107057,35.5686883107057,35.5686883107057,35.5686883107057,35.5686883107057,35.5686883107057,35.8323588388355,35.8323588388355,35.8323588388355,35.8323588388355,35.8323588388355,35.8323588388355,35.8323588388355
80.8,0,35.5687836086533,35.5687836086533,35.5687836086533,35.5687836086533,35.5687836086533,35.5687836086533,35.5687836086533,35.8321437906925,35.8321437906925,35.8321437906925,35.8321437906925,35.8321437906925,35.8321437906925,35.8321437906925
80.9,0,35.5688727032249,35.5688727032249,35.5688727032249,35.5688727032249,35.5688727032249,35.5688727032249,35.5688727032249,35.831928995666,35.831928995666,35.831928995666,35.831928995666,35.831928995666,35.831928995666,35.831928995666
81,0,35.5689557570992,35.5689557570992,35.5689557570992,35.5689557570992,35.5689557570992,35.5689557570992,35.5689557570992,35.83171444849,35.83171444849,35.83171444849,35.83171444849,35.83171444849,35.83171444849,35.83171444849
