t,Q1,Q2,Q3,Q4,Q5,Q6,Q7
10.9,1.16173868803522,1.39649770775019,1.51697870008019,1.19910875749795,1.19006153642859,1.52374562697175,1.38660725516445
11,1.16751249240333,1.40286341526176,1.5261054156327,1.20618455632815,1.19535918051139,1.53011567646255,1.39238301127732
11.1,1.17328562430575,1.40922823650938,1.53522962546121,1.21325901179976,1.20065614651446,1.53648464341698,1.39815809682542
11.2,1.17905808382076,1.41559217162613,1.54435133025342,1.22033212416596,1.20595243452918,1.54285252802536,1.40393251188783
11.3,1.1848298710265,1.42195522074476,1.55347053069682,1.22740389367979,1.21124804464668,1.54921933047802,1.40970625654366
11.4,1.19060098600099,1.42831738399767,1.56258722747872,1.23447432059412,1.21654297695786,1.5555850509653,1.41547933087195
11.5,1.19637142882212,1.43467866151696,1.57170142128629,1.24154340516171,1.22183723155336,1.5619496896776,1.4212517349518
11.6,1.20214119956769,1.4410390534344,1.58081311280646,1.24861114763511,1.22713080852361,1.5683132468053,1.42702346886227
11.7,1.20791029831536,1.44739855988144,1.58992230272605,1.25567754826677,1.2324237079588,1.57467572253881,1.43279453268244
11.8,1.2136787251427,1.45375718098924,1.59902899173165,1.262742607309,1.2377159299489,1.58103711706855,1.43856492649135
11.9,1.21944648012716,1.46011491688868,1.6081331805097,1.26980632501394,1.24300747458367,1.58739743058496,1.44433465036808
12,1.2252135633461,1.46647176771033,1.61723486974645,1.27686870163363,1.24829834195267,1.5937566632785,1.45010370439168
12.1,1.23097997487675,1.47282773358448,1.62633406012799,1.28392973741995,1.25358853214524,1.60011481533963,1.45587208864121
12.2,1.23674571479627,1.47918281464117,1.63543075234021,1.29098943262465,1.25887804525052,1.60647188695883,1.4616398031957
12.3,1.2425107831817,1.48553701101015,1.64452494706885,1.29804778749937,1.26416688135747,1.61282787832661,1.46740684813423
12.4,1.24827518011001,1.49189032282092,1.65361664499944,1.30510480229561,1.26945504055485,1.61918278963345,1.47317322353583
12.5,1.25403890565806,1.49824275020272,1.66270584681737,1.31216047726473,1.27474252293123,1.62553662106988,1.47893892947954
12.6,1.25980195990262,1.50459429328455,1.67179255320784,1.319214812658,1.28002932857503,1.63188937282641,1.4847039660444
12.7,1.26556434292038,1.51094495219517,1.68087676485585,1.32626780872656,1.28531545757445,1.63824104509359,1.49046833330946
12.8,1.27132605478794,1.51729472706309,1.68995848244627,1.33331946572141,1.29060091001755,1.64459163806195,1.49623203135374
12.9,1.27708709558183,1.5236436180166,1.69903770666375,1.34036978389344,1.29588568599221,1.65094115192203,1.50199506025629
13,1.28284746537847,1.52999162518376,1.7081144381928,1.34741876349346,1.30116978558615,1.65728958686441,1.50775742009614
13.1,1.28860716425423,1.53633874869242,1.71718867771774,1.35446640477212,1.30645320888694,1.66363694307964,1.51351911095232
13.2,1.29436619228538,1.5426849886702,1.7262604259227,1.36151270797999,1.31173595598198,1.66998322075827,1.51928013290385
13.3,1.30012454954814,1.54903034524453,1.73532968349167,1.36855767336753,1.31701802695851,1.67632842009091,1.52504048602977
13.4,1.30588223611863,1.55537481854261,1.74439645110842,1.37560130118508,1.32229942190366,1.6826725412681,1.53080017040909
13.5,1.31163925207292,1.56171840869146,1.75346072945659,1.38264359168287,1.32758014090439,1.68901558448045,1.53655918612085
13.6,1.31739559748699,1.5680611158179,1.76252251921962,1.38968454511105,1.3328601840475,1.69535754991853,1.54231753324406
13.7,1.32315127243677,1.57440294004856,1.77158182108077,1.39672416171965,1.33813955141969,1.70169843777293,1.54807521185776
13.8,1.32890627699811,1.58074388150988,1.78063863572315,1.40376244175861,1.34341824310751,1.70803824823424,1.55383222204095
13.9,1.33466061124681,1.58708394032814,1.78969296382969,1.41079938547776,1.34869625919738,1.71437698149306,1.55958856387266
14,1.34041427525859,1.59342311662939,1.79874480608311,1.41783499312683,1.35397359977559,1.72071463773997,1.56534423743191
14.1,1.34616726910912,1.59976141053957,1.80779416316601,1.42486926495547,1.35925026492831,1.72705121716557,1.57109924279771
14.2,1.35191959287401,1.6060988221844,1.81684103576077,1.43190220121323,1.36452625474158,1.73338671996046,1.57685358004907
14.3,1.3576712466288,1.61243535168948,1.82588542454963,1.43893380214956,1.36980156930133,1.73972114631523,1.58260724926502
14.4,1.36342223044898,1.6187709991802,1.83492733021464,1.44596406801382,1.37507620869337,1.74605449642047,1.58836025052456
14.5,1.36917254441,1.62510576478182,1.84396675343768,1.45299299905529,1.3803501730034,1.75238677046677,1.59411258390672
14.6,1.37492218858721,1.63143964861945,1.85300369490044,1.46002059552315,1.38562346231701,1.75871796864474,1.59986424949049
14.7,1.38067116305596,1.63777265081804,1.86203815528448,1.46704685766649,1.39089607671968,1.76504809114494,1.6056152473549
14.8,1.38641946789153,1.64410477150239,1.87107013527113,1.47407178573432,1.39616801629677,1.77137713815798,1.61136557757896
14.9,1.39216710316911,1.65043601079716,1.88009963554159,1.48109537997556,1.40143928113357,1.77770510987444,1.61711524024167
15,1.39791406896391,1.65676636882686,1.88912665677687,1.48811764063906,1.40670987131525,1.78403200648489,1.62286423542205
15.1,1.40366036535104,1.66309584571589,1.89815119965781,1.49513856797356,1.41197978692687,1.79035782817993,1.6286125631991
15.2,1.40940599240557,1.66942444158847,1.90717326486508,1.50215816222773,1.41724902805342,1.79668257515011,1.63436022365184
15.3,1.41515095020255,1.67575215656874,1.91619285307916,1.50917642365017,1.42251759477977,1.80300624758601,1.64010721685926
15.4,1.42089523881695,1.68207899078067,1.92520996498038,1.51619335248939,1.42778548719073,1.80932884567819,1.64585354290039
15.5,1.42663885832374,1.68840494434812,1.93422460124888,1.52320894899382,1.43305270537099,1.81565036961723,1.65159920185422
15.6,1.43238180879779,1.69473001739482,1.94323676256465,1.53022321341182,1.43831924940517,1.82197081959366,1.65734419379978
15.7,1.43812409031397,1.7010542100444,1.95224644960749,1.53723614599165,1.4435851193778,1.82829019579805,1.66308851881605
15.8,1.44386570294711,1.70737752242035,1.96125366305701,1.54424774698153,1.44885031537333,1.83460849842092,1.66883217698206
15.9,1.44960664677197,1.71369995464605,1.97025840359269,1.55125801662957,1.45411483747612,1.84092572765283,1.6745751683768
16,1.4553469218633,1.72002150684477,1.9792606718938,1.55826695518382,1.45937868577046,1.8472418836843,1.68031749307928
16.1,1.46108652829579,1.72634217913967,1.98826046863946,1.56527456289226,1.46464186034057,1.85355696670587,1.68605915116852
16.2,1.46682546614411,1.7326619716538,1.99725779450862,1.57228084000279,1.46990436127056,1.85987097690803,1.69180014272351
16.3,1.4725637354829,1.73898088451011,2.00625265018003,1.57928578676325,1.4751661886445,1.86618391448131,1.69754046782326
16.4,1.47830133638672,1.74529891783144,2.0152450363323,1.58628940342139,1.48042734254638,1.87249577961621,1.70328012654678
16.5,1.48403826893015,1.75161607174052,2.02423495364385,1.59329169022491,1.48568782306011,1.87880657250323,1.70901911897307
16.6,1.48977453318771,1.75793234636,2.03322240279294,1.60029264742141,1.49094763026954,1.88511629333284,1.71475744518115
16.7,1.49551012923389,1.76424774181242,2.04220738445765,1.60729227525846,1.49620676425844,1.89142494229553,1.72049510525001
